,name,address,score,score_cnt,review_cnt,awareness,lat,lng
306,홈우드커피,성수동1가 16-9,2.0,1,0,1.0,37.5444652,127.049515
307,점프업,성수동1가 31-35,0.0,0,0,0.0,37.5416096,127.0500492
308,헬로헬씨,성수동2가 284-44,5.0,1,3,1.3,37.5479592,127.0519502
309,커피봄봄,성수동1가 14-18,0.0,0,0,0.0,37.54673460000001,127.050026
310,309디저트카페,성수동2가 309-144,0.0,0,10,1.0,37.5413754,127.0543261
311,카페 아모렘,성수동2가 299-200,5.0,2,2,2.2,37.5478582,127.0551914
312,커피베이 성수세종타워점,성수동2가 284-62,0.0,0,1,0.1,37.5467682,127.0527574
313,메이크,성수동2가 284-53,0.0,0,3,0.3,37.5468798,127.0510528
314,팔공티 성수점,성수동2가 315-31,0.0,0,0,0.0,37.5433701,127.0546291
315,우무커피,성수동1가 656-1683,0.0,0,0,0.0,37.5483324,127.0453726
316,시티보울,성수동2가 273-13,4.0,2,9,2.9,37.5425787,127.059445
317,ILND,성수동1가 685-437,4.3,3,2,3.2,37.54775410000001,127.0402705
318,스텀필즈커피 성수점,성수동2가 289-319,4.8,16,0,16.0,37.5480418,127.0573144
319,마르코웤스,성수동2가 278-17,4.5,2,18,3.8,37.5468975,127.0607012
320,야한생두,성수동1가 72-71,5.0,3,0,3.0,37.5413541,127.0491981
321,bot,성수동2가 277-135,0.0,0,5,0.5,37.5446439,127.0583225
322,펀토리하우스 서울숲 메가박스점,성수동1가 656-335,0.0,0,1,0.1,37.5418544,127.044989
323,셀렉토커피 서울숲IT캐슬점,성수동1가 671-6,5.0,1,1,1.1,37.5512247,127.0449136
324,커피타조,성수동2가 281,5.0,2,1,2.1,37.547859,127.0633236
325,포레인커피,성수동1가 685-696,1.0,2,4,2.4,37.5457427,127.04246
326,쥬씨 성수점,성수동2가 289-15,1.0,1,2,1.2,37.5457509,127.0545504
327,광명다방,성수동2가 281-30,0.0,0,0,0.0,37.5479245,127.0668242
